,red,blue,green,nir08,swir16,emad,smad,bcmad,ndvi,mndwi,evi,ndbi,bs_pc_50,pv_pc_50,npv_pc_50,bs_med_jan_apr,pv_med_jan_apr,npv_med_jan_apr,bs_med_may_aug,pv_med_may_aug,npv_med_may_aug,bs_med_sep_dec,pv_med_sep_dec,npv_med_sep_dec,dem,x,y,class_id,lulc
31,238.0,268.0,500.0,3297.0,1233.0,714.434,0.001262188,0.054307573,0.86534643,-0.42296597,0.6014549,-0.4556291,6.0,87.0,7.0,21.0,58.5,45.0,9.0,60.0,11.0,31.0,50.5,62.0,828.44806,3105015.1871053814,-1974821.6620849124,1,forest
32,198.0,209.0,437.0,3786.0,1157.0,411.60657,0.0005156398,0.02796382,0.9006024,-0.45169383,0.6690784,-0.5318632,8.0,91.0,2.0,18.0,64.0,42.5,12.5,59.5,22.0,36.0,48.0,63.0,745.685,3106431.2823477653,-1974814.930702025,1,forest
33,246.0,264.0,512.0,4596.0,1623.0,493.89484,0.00034943223,0.025599126,0.8983891,-0.5203747,0.77171445,-0.4780511,13.0,85.0,5.0,16.0,61.5,44.0,13.0,79.0,11.0,17.0,58.0,59.0,897.5229,3107847.266270652,-1974808.1993213207,1,forest
34,415.0,461.0,798.0,5508.0,2101.0,974.96594,0.001186043,0.04277464,0.8598684,-0.44946527,0.8756577,-0.44775927,6.0,86.0,13.0,13.0,61.0,45.0,10.0,62.0,17.0,12.0,44.5,53.0,876.62976,3109263.3615130354,-1974801.2358263405,1,forest
35,240.0,246.0,452.0,3505.0,1277.0,505.2984,0.0010390282,0.041972943,0.87182915,-0.47715437,0.6230916,-0.46591383,9.0,88.0,3.0,13.0,62.5,46.0,11.5,81.0,12.0,20.0,45.5,53.0,840.962,3110679.345435922,-1974794.272333698,1,forest
36,637.0,556.0,782.0,3046.0,1648.0,648.8679,0.0016751885,0.04040488,0.6540864,-0.35637861,0.47428733,-0.297827,8.0,73.0,17.0,10.0,72.5,24.0,9.0,64.0,22.0,13.5,60.0,16.5,826.2882,3112095.3293588143,-1974787.1927852405,2,cropland
37,506.0,588.0,847.0,4641.0,1712.0,1242.0514,0.0020451844,0.07776188,0.80338067,-0.33802265,0.77918905,-0.461042,10.0,80.0,11.0,16.0,55.0,35.0,22.0,54.0,19.0,12.5,41.0,56.0,1036.4121,3113511.424601195,-1974779.9971810873,1,forest
38,478.0,455.0,700.0,3670.0,1504.0,1192.3708,0.003813237,0.0994661,0.7695275,-0.36479127,0.60797685,-0.41863164,3.0,84.0,11.0,23.5,60.0,28.0,21.0,51.0,51.0,27.5,40.0,61.5,1021.0408,3114927.4085240844,-1974772.68552136,1,forest
39,351.0,393.0,610.0,3885.0,1468.0,794.8587,0.0015719533,0.05941324,0.8342776,-0.412897,0.67734885,-0.4515225,10.0,86.0,3.0,13.0,59.0,52.5,24.0,51.0,17.0,20.5,53.0,57.5,992.9837,3116343.3924469766,-1974765.3738642097,1,forest
40,407.0,413.0,643.0,3829.0,1486.0,971.8882,0.0027828813,0.069394544,0.8078376,-0.39596054,0.64940983,-0.44082788,7.0,88.0,4.0,11.0,61.0,37.0,18.0,56.5,11.0,11.5,50.0,46.5,923.7705,3117759.376369866,-1974757.8300936602,1,forest
41,381.0,388.0,588.0,3278.0,1380.0,1061.178,0.00364542,0.09363935,0.7917464,-0.40243903,0.5723487,-0.40747106,5.0,86.0,7.0,10.0,59.0,31.5,20.0,46.0,50.0,9.0,43.5,61.0,1035.3607,3119175.4716122467,-1974750.2863258545,1,forest
42,470.0,532.0,673.0,3107.0,1366.0,1395.7476,0.0066057444,0.12984948,0.73721,-0.33987248,0.5522744,-0.3892242,5.0,88.0,9.0,24.0,53.5,37.0,11.0,40.0,49.5,29.0,45.0,52.0,862.52246,3120591.455535139,-1974742.6265028892,1,forest
43,394.0,404.0,559.0,2810.0,1290.0,2202.0862,0.006140828,0.17493969,0.7540574,-0.39534882,0.4973649,-0.3707317,5.0,87.0,11.0,36.0,50.5,49.0,18.0,47.5,52.0,28.0,41.0,59.0,785.4218,3122007.4394580284,-1974734.8506248933,1,forest
44,292.0,301.0,542.0,3734.0,1564.0,603.9857,0.00076675415,0.042321697,0.8549429,-0.48528016,0.6504895,-0.40958855,4.0,92.0,3.0,19.5,54.5,44.5,14.5,46.5,52.5,28.0,47.0,56.0,771.71405,3123423.4233809207,-1974727.0747498127,1,forest
45,276.0,306.0,450.0,3534.0,1466.0,1533.6182,0.0016869903,0.09641299,0.85511816,-0.53027135,0.63164014,-0.4136,9.0,84.0,7.0,11.0,64.0,37.0,17.0,54.0,54.5,22.5,42.0,60.0,773.5616,3124839.295984319,-1974719.0667621044,1,forest
46,392.0,423.0,703.0,4495.0,1826.0,800.1497,0.0009741187,0.047964793,0.83957434,-0.44404906,0.7501188,-0.42224333,11.0,88.0,19.0,30.0,58.0,40.5,11.0,58.5,57.0,27.0,42.0,65.5,718.96765,3126255.2799072117,-1974711.058777487,1,forest
47,282.0,299.0,469.0,3255.0,1372.0,938.3411,0.0012080967,0.06608674,0.84054285,-0.49049425,0.58502895,-0.40695918,7.0,90.0,4.0,15.0,58.0,23.0,9.5,55.5,40.0,11.0,47.5,55.0,550.1661,3127671.263830101,-1974702.9347382807,1,forest
48,310.0,370.0,564.0,3854.0,1583.0,1094.9459,0.002160132,0.061143994,0.85110474,-0.47461572,0.6847516,-0.4176936,8.0,89.0,8.0,10.0,70.0,48.0,15.0,50.0,52.0,34.0,57.0,47.5,420.5857,3134750.9608055684,-1974660.8058431393,1,forest
49,297.0,345.0,499.0,4200.0,1617.0,1137.6917,0.0012743473,0.06182368,0.8679119,-0.5283554,0.7284706,-0.44404337,10.0,86.0,4.0,18.0,78.0,29.0,13.0,56.0,47.0,34.0,62.0,56.0,341.63293,3136166.8334089695,-1974652.1015366258,1,forest
50,421.0,465.0,684.0,4838.0,1729.0,1244.7982,0.0021199584,0.07383549,0.83989346,-0.43307084,0.7957698,-0.47342768,12.0,85.0,6.0,23.0,75.0,26.0,14.0,75.0,37.0,34.0,52.0,34.0,342.47403,3137582.817331862,-1974643.281176418,1,forest
52,341.0,375.0,585.0,4661.0,1889.0,1281.707,0.0017234087,0.06849979,0.8636545,-0.52708167,0.777286,-0.42320615,9.0,84.0,14.0,13.5,80.0,26.0,10.5,62.5,31.0,19.0,58.0,25.0,288.98584,3140414.562538661,-1974625.4083527587,1,forest
53,467.0,499.0,734.0,4724.0,2188.0,2498.3289,0.005164802,0.11320492,0.8200732,-0.49760434,0.7721188,-0.36689815,13.0,80.0,6.0,16.0,76.0,29.0,21.0,68.5,11.0,32.0,64.0,8.0,102.38904,3144662.2916683527,-1974597.902803574,1,forest
54,322.0,365.0,585.0,5345.0,1761.0,1417.3053,0.0010698736,0.061602853,0.8863597,-0.50127876,0.8636818,-0.50436246,8.0,86.0,13.0,12.0,84.0,39.5,21.0,56.5,25.0,28.0,57.0,37.0,195.65956,3147493.925555658,-1974579.1015630888,1,forest
56,264.0,315.0,569.0,5043.0,1981.0,1154.1805,0.0008701086,0.055638887,0.9005088,-0.55372554,0.83756876,-0.43593395,11.0,87.0,19.0,12.0,80.0,21.0,14.0,54.5,38.5,20.5,40.0,66.0,195.7573,3151741.5433658585,-1974550.0873365193,1,forest
58,363.0,468.0,606.0,3615.0,1480.0,1663.8347,0.0026727915,0.1263997,0.81749624,-0.41898373,0.6618904,-0.41903824,6.0,86.0,36.0,19.5,70.0,33.0,17.5,42.5,57.0,19.0,52.0,60.0,430.99115,3154573.177253164,-1974530.3576856293,1,forest
59,281.0,361.0,549.0,4287.0,1821.0,969.6141,0.0009872913,0.054291777,0.8769702,-0.53670883,0.7549659,-0.4037328,8.0,89.0,12.0,9.0,74.0,43.0,22.0,54.5,44.0,39.0,56.0,58.0,440.2066,3155988.9385370733,-1974520.3768105616,1,forest
60,394.0,453.0,583.0,3353.0,1527.0,1491.569,0.0045876503,0.11865388,0.78969836,-0.44739336,0.6004707,-0.37418032,10.0,81.0,7.0,26.5,55.0,46.5,23.0,46.5,57.0,22.0,36.0,59.5,479.28708,3157404.8111404744,-1974510.1638270905,1,forest
61,463.0,527.0,717.0,5193.0,1983.0,2035.866,0.0016275048,0.09223473,0.83628005,-0.46888885,0.8435282,-0.4473244,8.0,69.0,24.0,16.0,73.0,38.0,14.0,57.0,46.5,13.0,51.0,61.0,297.4899,3158820.5724243843,-1974499.950848647,1,forest
