,red,blue,green,nir08,swir16,emad,smad,bcmad,ndvi,mndwi,evi,ndbi,bs_pc_50,pv_pc_50,npv_pc_50,bs_med_jan_apr,pv_med_jan_apr,npv_med_jan_apr,bs_med_may_aug,pv_med_may_aug,npv_med_may_aug,bs_med_sep_dec,pv_med_sep_dec,npv_med_sep_dec,dem,x,y,class_id,lulc
246,597.0,553.0,932.0,3541.0,2031.0,637.7472,0.002067864,0.043438293,0.71145475,-0.37090787,0.56722283,-0.27099785,5.0,84.0,12.0,17.0,54.5,30.0,9.5,81.0,12.5,13.5,84.0,9.0,2.269741,2376167.3686383013,785033.3779295143,3,grassland
247,637.0,586.0,964.0,3660.0,2079.0,780.66455,0.0017818213,0.045478046,0.7035141,-0.36641473,0.5774815,-0.27548352,7.0,90.0,9.0,17.0,61.5,41.5,7.0,88.0,11.0,22.0,85.0,15.0,2.5981584,2376265.3739772746,785050.0203455659,3,grassland
248,638.0,600.0,970.0,3527.0,2034.0,776.8823,0.001683414,0.05019564,0.69363743,-0.35419437,0.56184363,-0.26847687,5.0,88.0,9.0,30.0,66.0,30.0,7.0,83.0,12.5,12.0,84.0,17.0,1.9018683,2376198.064650128,785048.171188227,3,grassland
249,1249.0,1000.0,1322.0,3386.0,2352.0,774.25745,0.0020656288,0.043057084,0.4610572,-0.2803484,0.39929,-0.18020217,27.0,66.0,5.0,40.0,52.0,26.0,30.5,62.5,6.0,24.5,61.0,14.0,1.9046899,2376135.9329635384,785042.6237162097,3,grassland
250,1157.0,925.0,1281.0,4433.0,2548.0,1301.3744,0.002572,0.06494468,0.5860465,-0.33089578,0.5672727,-0.27001867,26.0,69.0,8.0,46.5,41.0,38.0,29.0,65.0,9.5,29.0,66.0,16.0,2.0230434,2376135.9329635384,785017.8450078658,3,grassland
251,564.0,505.0,854.0,4002.0,2134.0,624.01685,0.0013233423,0.036367916,0.7529566,-0.42838022,0.6320551,-0.30443284,14.0,77.0,11.0,23.0,58.0,18.5,7.5,81.0,13.0,16.0,76.0,16.0,2.934655,2376322.328023319,785114.3710209664,3,grassland
252,613.0,554.0,808.0,3892.0,2289.0,743.65247,0.0015808642,0.042912267,0.7278579,-0.4782047,0.6110696,-0.25934315,8.0,74.0,16.0,19.5,63.0,27.0,18.0,74.0,13.0,12.0,73.0,16.0,7.114714,2376280.5370674543,785136.5609090355,3,grassland
253,670.0,622.0,827.0,3271.0,2255.0,1028.6052,0.004467249,0.058317747,0.65998477,-0.4633355,0.51500875,-0.18385813,26.0,62.0,10.0,43.0,46.0,27.0,30.0,61.5,10.5,26.0,60.0,17.0,3.462437,2375915.1435772525,784973.4652317279,1,forest
254,483.0,481.0,697.0,3408.0,1994.0,1267.982,0.0035558343,0.07680475,0.7517348,-0.4819769,0.5758554,-0.2617549,29.0,62.0,23.0,39.0,47.0,9.0,40.0,58.0,19.5,31.0,58.0,27.5,4.157703,2375925.4988583513,785085.1543350088,1,forest
256,522.0,527.0,740.0,2627.0,1302.0,1636.5403,0.0044292808,0.11922264,0.66846615,-0.27522036,0.44572902,-0.33723593,21.0,64.0,15.0,44.0,36.0,32.0,21.0,58.5,21.5,29.0,61.0,14.0,7.6160398,2375687.6972245406,785046.322030888,7,mangroves
257,456.0,470.0,725.0,3973.0,1924.0,767.57184,0.0010636449,0.03999781,0.7940844,-0.4526236,0.6669069,-0.34746483,22.0,62.0,15.0,27.0,57.0,25.0,21.5,62.0,19.5,29.0,61.0,18.0,5.231168,2375526.080873108,784888.4039941295,1,forest
258,421.0,457.0,721.0,4385.0,1869.0,923.33386,0.0009300709,0.03913579,0.8248023,-0.44324327,0.7349723,-0.40230247,6.0,78.0,15.0,28.0,56.0,22.0,26.0,63.5,15.0,35.0,60.0,18.0,2.6517692,2375673.2737972997,784933.5234332035,7,mangroves
259,780.0,601.0,917.0,4125.0,2288.0,923.681,0.0014664233,0.049382426,0.6819571,-0.42776906,0.58489245,-0.2864494,18.0,74.0,8.0,23.0,64.0,34.0,23.0,70.0,41.0,21.0,71.0,21.0,3.6060908,2375600.4169981387,784919.1000059585,4,buildup
260,986.0,770.0,1052.0,2596.0,1579.0,1228.5193,0.008301854,0.0749215,0.4494696,-0.20030409,0.3160085,-0.24359283,22.0,57.0,13.0,46.0,22.0,53.5,22.0,39.0,55.0,38.5,52.0,33.0,0.0,2375435.517785382,784802.1381698106,5,baresoil
261,926.0,771.0,1014.0,1971.0,928.0,1501.7234,0.010517538,0.111130215,0.36071798,0.04428426,0.22244453,-0.35977924,3.0,56.0,39.0,46.0,33.0,42.0,30.0,47.0,39.5,33.0,39.0,27.0,0.0,2375578.850799773,784844.1286867041,7,mangroves
315,1320.0,1164.0,1600.0,1023.0,887.0,743.79065,0.008282661,0.07606213,-0.12676054,0.2866908,-0.072701454,-0.07120422,48.0,28.0,26.0,39.0,28.0,42.0,37.0,38.0,25.0,39.0,40.0,32.0,2.2129893,2379973.566862414,786796.7218954457,5,baresoil
316,1605.0,1178.0,1703.0,1111.0,1003.0,1151.0315,0.011897743,0.09974095,-0.18188512,0.25868443,-0.10372921,-0.051088,20.0,18.0,62.0,26.0,20.0,68.0,34.0,20.0,46.0,25.5,26.0,48.0,0.7843158,2379906.011640522,786919.5187620007,5,baresoil
317,1328.0,1144.0,1585.0,4577.0,4237.0,1362.4595,0.0029976368,0.04804323,0.5502117,-0.4555136,0.5816327,-0.038575005,40.0,53.0,5.0,38.0,33.0,28.0,31.0,62.5,35.0,42.0,56.0,2.0,2.978391,2379848.2282023937,787306.9445705098,5,baresoil
