,bs_pc_50,pv_pc_50,npv_pc_50,red,blue,green,nir08,swir16,emad,smad,bcmad,ndvi,mndwi,evi,ndbi,bs_jan_apr,pv_jan_apr,npv_jan_apr,bs_may_aug,pv_may_aug,npv_may_aug,bs_sep_dec,pv_sep_dec,npv_sep_dec,dem,class_id,lulc,geometry
376,14.0,88.0,7.0,328.0,365.0,545.0,3423.0,1272.0,539.26355,0.0015833974,0.028665677,0.8251133031191682,-0.40011007154650524,2.914861555848559,-0.45814696485623,22.0,54.0,16.0,21.0,80.5,11.0,15.0,81.0,15.0,8.807933,7,mangroves,POINT (171.07588827870492 7.216914832679391)
377,23.0,75.0,23.0,379.0,399.0,618.0,3773.0,1415.0,519.1042,0.0013260245,0.022175737,0.8174373795761078,-0.39203148057058534,2.7769595810832923,-0.4545104086353123,38.0,51.5,39.0,48.0,67.0,30.0,48.0,60.5,28.0,5.0754347,7,mangroves,POINT (171.07608312302872 7.217042527682588)
378,14.0,88.0,7.0,328.0,365.0,545.0,3423.0,1272.0,539.26355,0.0015833974,0.028665677,0.8251133031191682,-0.40011007154650524,2.914861555848559,-0.45814696485623,22.0,54.0,16.0,21.0,80.5,11.0,15.0,81.0,15.0,8.807933,7,mangroves,POINT (171.07604861934638 7.216908751964038)
379,10.0,73.0,25.0,494.0,459.0,653.0,2855.0,1144.0,855.99335,0.0034139752,0.06722526,0.7049865631531801,-0.27323316638842515,2.4826498422712935,-0.4278569642410603,31.5,46.0,36.0,30.5,71.5,25.0,43.0,60.0,28.0,0.0,7,mangroves,POINT (171.07567719735414 7.217127657664433)
380,31.0,61.0,33.0,334.0,361.0,504.0,3080.0,1134.0,387.70834,0.00091671944,0.029497476,0.8043350908025776,-0.38461538461538464,2.8874868559411144,-0.46179401993355484,43.5,41.0,33.0,34.5,58.5,33.5,45.5,55.0,41.5,5.9041133,7,mangroves,POINT (171.0742869019187 7.217814777638071)
381,31.0,61.0,33.0,334.0,361.0,504.0,3080.0,1134.0,387.70834,0.00091671944,0.029497476,0.8043350908025776,-0.38461538461538464,2.8874868559411144,-0.46179401993355484,43.5,41.0,33.0,34.5,58.5,33.5,45.5,55.0,41.5,5.9041133,7,mangroves,POINT (171.07437417593871 7.217751943702101)
383,44.0,32.0,36.0,342.0,380.0,568.0,4036.0,1113.0,1134.1967,0.0031570196,0.060267154,0.84376427592508,-0.3242117787031529,2.8511886384686633,-0.5676830452515051,43.5,43.0,35.0,42.5,78.0,17.0,36.0,78.0,24.0,5.539041,7,mangroves,POINT (171.07448174624247 7.217654652428967)
384,14.0,84.0,5.0,309.0,350.0,532.0,3577.0,1102.0,318.6272,0.00065529346,0.021134537,0.8409675759135358,-0.3488372093023256,2.9105806911293195,-0.5289591793118188,43.0,58.0,15.0,18.0,80.0,13.0,20.0,76.5,16.5,4.109655,7,mangroves,POINT (171.07457510914764 7.217717486378625)
385,14.0,84.0,5.0,309.0,350.0,532.0,3577.0,1102.0,318.6272,0.00065529346,0.021134537,0.8409675759135358,-0.3488372093023256,2.9105806911293195,-0.5289591793118188,43.0,58.0,15.0,18.0,80.0,13.0,20.0,76.5,16.5,4.109655,7,mangroves,POINT (171.07467253130955 7.217699244265118)
386,15.0,92.0,7.0,384.0,377.0,577.0,3582.0,1270.0,469.44635,0.00083070993,0.025981883,0.8063540090771558,-0.3752030319436925,2.6131720869423107,-0.4765045342126958,37.5,39.5,32.5,23.0,83.0,12.0,39.0,78.0,16.0,6.9165235,7,mangroves,POINT (171.07477604235658 7.217640464116529)
387,15.0,92.0,7.0,384.0,377.0,577.0,3582.0,1270.0,469.44635,0.00083070993,0.025981883,0.8063540090771558,-0.3752030319436925,2.6131720869423107,-0.4765045342126958,37.5,39.5,32.5,23.0,83.0,12.0,39.0,78.0,16.0,6.9165235,7,mangroves,POINT (171.07474762755936 7.217539119014584)
388,15.0,92.0,7.0,384.0,377.0,577.0,3582.0,1270.0,469.44635,0.00083070993,0.025981883,0.8063540090771558,-0.3752030319436925,2.6131720869423107,-0.4765045342126958,37.5,39.5,32.5,23.0,83.0,12.0,39.0,78.0,16.0,6.9165235,7,mangroves,POINT (171.07479836826866 7.217470204332122)
389,5.0,81.0,12.0,503.0,439.0,725.0,3661.0,2070.0,301.59814,0.00022953749,0.019645859,0.7584053794428435,-0.481216457960644,2.3306273062730627,-0.27761298202756934,14.5,68.0,19.0,5.5,71.0,17.0,12.0,62.5,19.5,1.968488,5,baresoil,POINT (171.03309559409036 7.145770896533595)
390,4.0,75.0,17.0,614.0,517.0,708.0,3335.0,2417.0,397.8903,0.0005506277,0.025832478,0.6890351987845024,-0.54688,2.164677804295943,-0.15959666203059805,15.5,60.0,24.0,9.0,67.0,19.5,13.5,59.0,25.0,0.3354344,5,baresoil,POINT (171.03321128290762 7.145574255527899)
391,10.0,81.0,8.0,433.0,415.0,710.0,4297.0,2149.0,358.0454,0.0006233454,0.018624352,0.8169133192389006,-0.5033228401538999,2.5531914893617023,-0.3332299100217189,13.0,73.0,14.0,11.5,78.0,11.0,14.0,75.0,14.5,4.483814,5,baresoil,POINT (171.0346056375998 7.145225572296729)
392,10.0,81.0,8.0,433.0,415.0,710.0,4297.0,2149.0,358.0454,0.0006233454,0.018624352,0.8169133192389006,-0.5033228401538999,2.5531914893617023,-0.3332299100217189,13.0,73.0,14.0,11.5,78.0,11.0,14.0,75.0,14.5,4.483814,5,baresoil,POINT (171.03479642266686 7.145326933728924)
393,6.0,87.0,7.0,529.0,443.0,824.0,3042.0,1775.0,263.92316,0.0006082058,0.018437942,0.703724446933632,-0.36590996537129666,2.17049576783555,-0.2630267801536226,18.0,61.5,16.5,7.5,75.0,11.0,7.0,77.0,13.0,9.194073,2,cropland,POINT (171.0299963515649 7.143287537332728)
394,5.0,95.0,27.0,515.0,477.0,933.0,4508.0,1804.0,535.49207,0.00071665645,0.023923386,0.7949432609994027,-0.31823164048227987,2.482282730324506,-0.42839036755386567,18.0,67.0,16.0,10.0,86.0,24.0,13.0,69.0,47.0,10.42442,2,cropland,POINT (171.03037386244227 7.143555132613917)
395,4.0,94.0,22.0,366.0,400.0,858.0,4607.0,1723.0,442.8296,0.00048312545,0.021997757,0.8528051477981098,-0.33514141805501746,2.7871976866456363,-0.45560821484992103,19.0,62.0,22.0,7.0,90.0,40.0,13.0,67.0,46.5,7.7263026,2,cropland,POINT (171.03077978811686 7.143741638322107)
396,8.0,89.0,7.0,301.0,350.0,682.0,4751.0,1664.0,492.73383,0.000741899,0.023660915,0.8808392715756136,-0.4185848252344416,2.8286295448766845,-0.481215900233827,15.0,66.5,21.5,10.0,84.5,19.0,17.0,65.5,47.0,10.339589,2,cropland,POINT (171.03098275095414 7.143932198422591)
398,4.0,83.0,11.0,1069.0,855.0,1218.0,3705.0,2141.0,2149.7434,0.0035817623,0.11565031,0.5521575198994554,-0.2747841619529622,1.777478084962913,-0.2675333561409511,21.0,61.0,17.0,7.5,81.5,13.0,14.0,80.0,12.5,6.471439,5,baresoil,POINT (171.02981165538299 7.151949840331791)
399,4.0,83.0,11.0,1069.0,855.0,1218.0,3705.0,2141.0,2149.7434,0.0035817623,0.11565031,0.5521575198994554,-0.2747841619529622,1.777478084962913,-0.2675333561409511,21.0,61.0,17.0,7.5,81.5,13.0,14.0,80.0,12.5,6.471439,5,baresoil,POINT (171.0298400701802 7.151899160362955)
